topicId,rank,docId,filename
1,1,185,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sync3.txt
1,2,194,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\voicerec.txt
1,3,177,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker_3.txt
1,4,170,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker4.txt
1,5,167,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker1.txt
1,6,166,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker0.txt
1,7,164,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sound.txt
1,8,157,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size7.txt
1,9,133,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\screen.txt
1,10,128,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\ringtone7.txt
1,11,126,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\ringtone5.txt
1,12,117,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\rebate.txt
1,13,116,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\rebat1.txt
1,14,112,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\radio2.txt
1,15,111,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\radio.txt
1,16,103,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\phone_1.txt
1,17,91,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\os1.txt
1,18,87,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\mobile.txt
1,19,84,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\menu4.txt
1,20,62,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\gprs1.txt
1,21,56,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\freespeak.txt
1,22,43,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\cost.txt
1,23,21,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\bluetooth6.txt
1,24,1,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\back logged.txt
1,25,200,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\wireless.txt
1,26,199,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\wifi.txt
1,27,198,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\warranty.txt
1,28,197,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\volume2.txt
1,29,196,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\volume1.txt
1,30,195,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\volume.txt
1,31,193,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\voice.txt
1,32,192,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\voice dialing.txt
1,33,191,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\video2.txt
1,34,190,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\video1.txt
1,35,189,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\video.txt
1,36,188,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\vibration.txt
1,37,187,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\use.txt
1,38,186,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\upgrade.txt
1,39,184,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sync2.txt
1,40,183,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sync1.txt
1,41,182,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sync.txt
1,42,181,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sturdy.txt
1,43,180,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\standby2.txt
1,44,179,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\standby.txt
1,45,178,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speed.txt
1,46,176,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker_2.txt
1,47,175,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker_1.txt
1,48,174,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker8.txt
1,49,173,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker7.txt
1,50,172,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker6.txt
1,51,171,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker5.txt
1,52,169,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker3.txt
1,53,168,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\speaker2.txt
