topicId,rank,docId,filename
1,1,195,D:\LDA_IMPLEMENTATION\Input_Docs\volume.txt
1,2,164,D:\LDA_IMPLEMENTATION\Input_Docs\sound.txt
1,3,149,D:\LDA_IMPLEMENTATION\Input_Docs\signals3.txt
1,4,116,D:\LDA_IMPLEMENTATION\Input_Docs\rebat1.txt
1,5,107,D:\LDA_IMPLEMENTATION\Input_Docs\picture3.txt
1,6,11,D:\LDA_IMPLEMENTATION\Input_Docs\battery8.txt
1,7,192,D:\LDA_IMPLEMENTATION\Input_Docs\voice.txt
1,8,191,D:\LDA_IMPLEMENTATION\Input_Docs\video2.txt
1,9,165,D:\LDA_IMPLEMENTATION\Input_Docs\speaker.txt
1,10,158,D:\LDA_IMPLEMENTATION\Input_Docs\size8.txt
1,11,131,D:\LDA_IMPLEMENTATION\Input_Docs\ringtones.txt
1,12,130,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone9.txt
1,13,119,D:\LDA_IMPLEMENTATION\Input_Docs\rebate2.txt
1,14,118,D:\LDA_IMPLEMENTATION\Input_Docs\rebate1.txt
1,15,117,D:\LDA_IMPLEMENTATION\Input_Docs\rebate.txt
1,16,111,D:\LDA_IMPLEMENTATION\Input_Docs\radio.txt
1,17,106,D:\LDA_IMPLEMENTATION\Input_Docs\picture2.txt
1,18,100,D:\LDA_IMPLEMENTATION\Input_Docs\phone5.txt
1,19,99,D:\LDA_IMPLEMENTATION\Input_Docs\phone4.txt
1,20,84,D:\LDA_IMPLEMENTATION\Input_Docs\menu5.txt
1,21,79,D:\LDA_IMPLEMENTATION\Input_Docs\menu.txt
1,22,59,D:\LDA_IMPLEMENTATION\Input_Docs\games2.txt
1,23,52,D:\LDA_IMPLEMENTATION\Input_Docs\features3.txt
1,24,35,D:\LDA_IMPLEMENTATION\Input_Docs\camera1.txt
1,25,32,D:\LDA_IMPLEMENTATION\Input_Docs\calls1.txt
1,26,15,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth.txt
1,27,200,D:\LDA_IMPLEMENTATION\Input_Docs\wireless.txt
1,28,199,D:\LDA_IMPLEMENTATION\Input_Docs\wifi.txt
1,29,198,D:\LDA_IMPLEMENTATION\Input_Docs\warranty.txt
1,30,197,D:\LDA_IMPLEMENTATION\Input_Docs\volume2.txt
1,31,196,D:\LDA_IMPLEMENTATION\Input_Docs\volume1.txt
1,32,194,D:\LDA_IMPLEMENTATION\Input_Docs\voice_dialing.txt
1,33,193,D:\LDA_IMPLEMENTATION\Input_Docs\voicerec.txt
1,34,190,D:\LDA_IMPLEMENTATION\Input_Docs\video1.txt
1,35,189,D:\LDA_IMPLEMENTATION\Input_Docs\video.txt
1,36,188,D:\LDA_IMPLEMENTATION\Input_Docs\vibration.txt
1,37,187,D:\LDA_IMPLEMENTATION\Input_Docs\use.txt
1,38,186,D:\LDA_IMPLEMENTATION\Input_Docs\upgrade.txt
1,39,185,D:\LDA_IMPLEMENTATION\Input_Docs\sync3.txt
1,40,184,D:\LDA_IMPLEMENTATION\Input_Docs\sync2.txt
1,41,183,D:\LDA_IMPLEMENTATION\Input_Docs\sync1.txt
1,42,182,D:\LDA_IMPLEMENTATION\Input_Docs\sync.txt
1,43,181,D:\LDA_IMPLEMENTATION\Input_Docs\sturdy.txt
1,44,180,D:\LDA_IMPLEMENTATION\Input_Docs\standby2.txt
1,45,179,D:\LDA_IMPLEMENTATION\Input_Docs\standby.txt
1,46,178,D:\LDA_IMPLEMENTATION\Input_Docs\speed.txt
1,47,177,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_3.txt
1,48,176,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_2.txt
1,49,175,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_1.txt
1,50,174,D:\LDA_IMPLEMENTATION\Input_Docs\speaker8.txt
1,51,173,D:\LDA_IMPLEMENTATION\Input_Docs\speaker7.txt
1,52,172,D:\LDA_IMPLEMENTATION\Input_Docs\speaker6.txt
1,53,171,D:\LDA_IMPLEMENTATION\Input_Docs\speaker5.txt
1,54,170,D:\LDA_IMPLEMENTATION\Input_Docs\speaker4.txt
1,55,169,D:\LDA_IMPLEMENTATION\Input_Docs\speaker3.txt
1,56,168,D:\LDA_IMPLEMENTATION\Input_Docs\speaker2.txt
1,57,167,D:\LDA_IMPLEMENTATION\Input_Docs\speaker1.txt
1,58,166,D:\LDA_IMPLEMENTATION\Input_Docs\speaker0.txt
1,59,163,D:\LDA_IMPLEMENTATION\Input_Docs\slow.txt
1,60,162,D:\LDA_IMPLEMENTATION\Input_Docs\size_3.txt
1,61,161,D:\LDA_IMPLEMENTATION\Input_Docs\size_2.txt
1,62,160,D:\LDA_IMPLEMENTATION\Input_Docs\size_1.txt
1,63,159,D:\LDA_IMPLEMENTATION\Input_Docs\size9.txt
1,64,157,D:\LDA_IMPLEMENTATION\Input_Docs\size7.txt
1,65,156,D:\LDA_IMPLEMENTATION\Input_Docs\size6.txt
1,66,155,D:\LDA_IMPLEMENTATION\Input_Docs\size5.txt
1,67,154,D:\LDA_IMPLEMENTATION\Input_Docs\size4.txt
1,68,153,D:\LDA_IMPLEMENTATION\Input_Docs\size3.txt
1,69,152,D:\LDA_IMPLEMENTATION\Input_Docs\size1.txt
1,70,151,D:\LDA_IMPLEMENTATION\Input_Docs\size.txt
1,71,150,D:\LDA_IMPLEMENTATION\Input_Docs\sim.txt
1,72,148,D:\LDA_IMPLEMENTATION\Input_Docs\signals2.txt
1,73,147,D:\LDA_IMPLEMENTATION\Input_Docs\signals1.txt
1,74,146,D:\LDA_IMPLEMENTATION\Input_Docs\signals.txt
1,75,145,D:\LDA_IMPLEMENTATION\Input_Docs\signal.txt
1,76,144,D:\LDA_IMPLEMENTATION\Input_Docs\shape1.txt
1,77,143,D:\LDA_IMPLEMENTATION\Input_Docs\shape.txt
1,78,142,D:\LDA_IMPLEMENTATION\Input_Docs\service_3.txt
1,79,141,D:\LDA_IMPLEMENTATION\Input_Docs\service_2.txt
1,80,140,D:\LDA_IMPLEMENTATION\Input_Docs\service_(2).txt
1,81,139,D:\LDA_IMPLEMENTATION\Input_Docs\service4.txt
1,82,138,D:\LDA_IMPLEMENTATION\Input_Docs\service.txt
1,83,137,D:\LDA_IMPLEMENTATION\Input_Docs\screen5.txt
1,84,136,D:\LDA_IMPLEMENTATION\Input_Docs\screen4.txt
1,85,135,D:\LDA_IMPLEMENTATION\Input_Docs\screen3.txt
1,86,134,D:\LDA_IMPLEMENTATION\Input_Docs\screen2.txt
1,87,133,D:\LDA_IMPLEMENTATION\Input_Docs\screen.txt
1,88,132,D:\LDA_IMPLEMENTATION\Input_Docs\scratch.txt
1,89,129,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone8.txt
1,90,128,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone7.txt
1,91,127,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone6.txt
1,92,126,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone5.txt
1,93,125,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone4.txt
1,94,124,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone3.txt
1,95,123,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone2.txt
1,96,122,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone1.txt
1,97,121,D:\LDA_IMPLEMENTATION\Input_Docs\ringtone.txt
1,98,120,D:\LDA_IMPLEMENTATION\Input_Docs\ringers.txt
1,99,115,D:\LDA_IMPLEMENTATION\Input_Docs\rebat.txt
1,100,114,D:\LDA_IMPLEMENTATION\Input_Docs\radio4.txt
1,101,113,D:\LDA_IMPLEMENTATION\Input_Docs\radio3.txt
1,102,112,D:\LDA_IMPLEMENTATION\Input_Docs\radio2.txt
1,103,110,D:\LDA_IMPLEMENTATION\Input_Docs\price.txt
1,104,109,D:\LDA_IMPLEMENTATION\Input_Docs\portability_2.txt
1,105,108,D:\LDA_IMPLEMENTATION\Input_Docs\portability.txt
1,106,105,D:\LDA_IMPLEMENTATION\Input_Docs\picture1.txt
1,107,104,D:\LDA_IMPLEMENTATION\Input_Docs\picture.txt
1,108,103,D:\LDA_IMPLEMENTATION\Input_Docs\phone_1.txt
1,109,102,D:\LDA_IMPLEMENTATION\Input_Docs\phone7.txt
1,110,101,D:\LDA_IMPLEMENTATION\Input_Docs\phone6.txt
1,111,98,D:\LDA_IMPLEMENTATION\Input_Docs\phone3.txt
1,112,97,D:\LDA_IMPLEMENTATION\Input_Docs\phone2.txt
1,113,96,D:\LDA_IMPLEMENTATION\Input_Docs\phone1.txt
1,114,95,D:\LDA_IMPLEMENTATION\Input_Docs\phone.txt
1,115,94,D:\LDA_IMPLEMENTATION\Input_Docs\performance.txt
1,116,93,D:\LDA_IMPLEMENTATION\Input_Docs\os3.txt
1,117,92,D:\LDA_IMPLEMENTATION\Input_Docs\os2.txt
1,118,91,D:\LDA_IMPLEMENTATION\Input_Docs\os1.txt
1,119,90,D:\LDA_IMPLEMENTATION\Input_Docs\os.txt
1,120,89,D:\LDA_IMPLEMENTATION\Input_Docs\options.txt
1,121,88,D:\LDA_IMPLEMENTATION\Input_Docs\network.txt
1,122,87,D:\LDA_IMPLEMENTATION\Input_Docs\mobile.txt
1,123,86,D:\LDA_IMPLEMENTATION\Input_Docs\menu_options.txt
1,124,85,D:\LDA_IMPLEMENTATION\Input_Docs\menus.txt
1,125,83,D:\LDA_IMPLEMENTATION\Input_Docs\menu4.txt
1,126,82,D:\LDA_IMPLEMENTATION\Input_Docs\menu3.txt
1,127,81,D:\LDA_IMPLEMENTATION\Input_Docs\menu2.txt
1,128,80,D:\LDA_IMPLEMENTATION\Input_Docs\menu1.txt
1,129,78,D:\LDA_IMPLEMENTATION\Input_Docs\memory.txt
1,130,77,D:\LDA_IMPLEMENTATION\Input_Docs\look.txt
1,131,76,D:\LDA_IMPLEMENTATION\Input_Docs\loading.txt
1,132,75,D:\LDA_IMPLEMENTATION\Input_Docs\keys3.txt
1,133,74,D:\LDA_IMPLEMENTATION\Input_Docs\keys2.txt
1,134,73,D:\LDA_IMPLEMENTATION\Input_Docs\keys.txt
1,135,72,D:\LDA_IMPLEMENTATION\Input_Docs\kernel.txt
1,136,71,D:\LDA_IMPLEMENTATION\Input_Docs\internet2.txt
1,137,70,D:\LDA_IMPLEMENTATION\Input_Docs\internet1.txt
1,138,69,D:\LDA_IMPLEMENTATION\Input_Docs\internet.txt
1,139,68,D:\LDA_IMPLEMENTATION\Input_Docs\interface3.txt
1,140,67,D:\LDA_IMPLEMENTATION\Input_Docs\interface2.txt
1,141,66,D:\LDA_IMPLEMENTATION\Input_Docs\interface.txt
1,142,65,D:\LDA_IMPLEMENTATION\Input_Docs\infrared.txt
1,143,64,D:\LDA_IMPLEMENTATION\Input_Docs\headset.txt
1,144,63,D:\LDA_IMPLEMENTATION\Input_Docs\gprs2.txt
1,145,62,D:\LDA_IMPLEMENTATION\Input_Docs\gprs1.txt
1,146,61,D:\LDA_IMPLEMENTATION\Input_Docs\gprs.txt
1,147,60,D:\LDA_IMPLEMENTATION\Input_Docs\games3.txt
1,148,58,D:\LDA_IMPLEMENTATION\Input_Docs\games1.txt
1,149,57,D:\LDA_IMPLEMENTATION\Input_Docs\games.txt
1,150,56,D:\LDA_IMPLEMENTATION\Input_Docs\freespeak.txt
1,151,55,D:\LDA_IMPLEMENTATION\Input_Docs\files.txt
1,152,54,D:\LDA_IMPLEMENTATION\Input_Docs\features5.txt
1,153,53,D:\LDA_IMPLEMENTATION\Input_Docs\features4.txt
1,154,51,D:\LDA_IMPLEMENTATION\Input_Docs\features2.txt
1,155,50,D:\LDA_IMPLEMENTATION\Input_Docs\features1.txt
1,156,49,D:\LDA_IMPLEMENTATION\Input_Docs\features.txt
1,157,48,D:\LDA_IMPLEMENTATION\Input_Docs\email.txt
1,158,47,D:\LDA_IMPLEMENTATION\Input_Docs\dialing.txt
1,159,46,D:\LDA_IMPLEMENTATION\Input_Docs\customer_service.txt
1,160,45,D:\LDA_IMPLEMENTATION\Input_Docs\customer_rep.txt
1,161,44,D:\LDA_IMPLEMENTATION\Input_Docs\crash.txt
1,162,43,D:\LDA_IMPLEMENTATION\Input_Docs\cost.txt
1,163,42,D:\LDA_IMPLEMENTATION\Input_Docs\connectivity.txt
1,164,41,D:\LDA_IMPLEMENTATION\Input_Docs\compatible.txt
1,165,40,D:\LDA_IMPLEMENTATION\Input_Docs\camera6.txt
1,166,39,D:\LDA_IMPLEMENTATION\Input_Docs\camera5.txt
1,167,38,D:\LDA_IMPLEMENTATION\Input_Docs\camera4.txt
1,168,37,D:\LDA_IMPLEMENTATION\Input_Docs\camera3.txt
1,169,36,D:\LDA_IMPLEMENTATION\Input_Docs\camera2.txt
1,170,34,D:\LDA_IMPLEMENTATION\Input_Docs\camera.txt
1,171,33,D:\LDA_IMPLEMENTATION\Input_Docs\calls2.txt
1,172,31,D:\LDA_IMPLEMENTATION\Input_Docs\calls.txt
1,173,30,D:\LDA_IMPLEMENTATION\Input_Docs\call.txt
1,174,29,D:\LDA_IMPLEMENTATION\Input_Docs\buttons_3.txt
1,175,28,D:\LDA_IMPLEMENTATION\Input_Docs\buttons3.txt
1,176,27,D:\LDA_IMPLEMENTATION\Input_Docs\buttons2.txt
1,177,26,D:\LDA_IMPLEMENTATION\Input_Docs\buttons1.txt
1,178,25,D:\LDA_IMPLEMENTATION\Input_Docs\buttons.txt
1,179,24,D:\LDA_IMPLEMENTATION\Input_Docs\blutooth1.txt
1,180,23,D:\LDA_IMPLEMENTATION\Input_Docs\blutooth.txt
1,181,22,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth7.txt
1,182,21,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth6.txt
1,183,20,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth5.txt
1,184,19,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth4.txt
1,185,18,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth3.txt
1,186,17,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth2.txt
1,187,16,D:\LDA_IMPLEMENTATION\Input_Docs\bluetooth1.txt
1,188,14,D:\LDA_IMPLEMENTATION\Input_Docs\battery_2.txt
1,189,13,D:\LDA_IMPLEMENTATION\Input_Docs\battery_1.txt
1,190,12,D:\LDA_IMPLEMENTATION\Input_Docs\battery9.txt
1,191,10,D:\LDA_IMPLEMENTATION\Input_Docs\battery7.txt
1,192,9,D:\LDA_IMPLEMENTATION\Input_Docs\battery6.txt
1,193,8,D:\LDA_IMPLEMENTATION\Input_Docs\battery5.txt
1,194,7,D:\LDA_IMPLEMENTATION\Input_Docs\battery4.txt
1,195,6,D:\LDA_IMPLEMENTATION\Input_Docs\battery3.txt
1,196,5,D:\LDA_IMPLEMENTATION\Input_Docs\battery2.txt
1,197,4,D:\LDA_IMPLEMENTATION\Input_Docs\battery1.txt
1,198,3,D:\LDA_IMPLEMENTATION\Input_Docs\battery.txt
1,199,2,D:\LDA_IMPLEMENTATION\Input_Docs\back_logged.txt
1,200,1,D:\LDA_IMPLEMENTATION\Input_Docs\backlight.txt
2,1,178,D:\LDA_IMPLEMENTATION\Input_Docs\speed.txt
2,2,194,D:\LDA_IMPLEMENTATION\Input_Docs\voice_dialing.txt
2,3,183,D:\LDA_IMPLEMENTATION\Input_Docs\sync1.txt
2,4,177,D:\LDA_IMPLEMENTATION\Input_Docs\speaker_3.txt
2,5,173,D:\LDA_IMPLEMENTATION\Input_Docs\speaker7.txt
2,6,164,D:\LDA_IMPLEMENTATION\Input_Docs\sound.txt
2,7,161,D:\LDA_IMPLEMENTATION\Input_Docs\size_2.txt
2,8,151,D:\LDA_IMPLEMENTATION\Input_Docs\size.txt
2,9,150,D:\LDA_IMPLEMENTATION\Input_Docs\sim.txt
2,10,149,D:\LDA_IMPLEMENTATION\Input_Docs\signals3.txt
2,11,147,D:\LDA_IMPLEMENTATION\Input_Docs\signals1.txt
2,12,119,D:\LDA_IMPLEMENTATION\Input_Docs\rebate2.txt
